temperature	V(ntc)
8.280000000001428e+01	1.600365e-01
8.290000000001430e+01	1.596589e-01
8.300000000001432e+01	1.592823e-01
8.310000000001435e+01	1.589065e-01
8.320000000001437e+01	1.585316e-01
8.330000000001439e+01	1.581577e-01
8.340000000001442e+01	1.577846e-01
8.350000000001444e+01	1.574124e-01
8.360000000001446e+01	1.570411e-01
8.370000000001448e+01	1.566707e-01
8.380000000001451e+01	1.563012e-01
8.390000000001453e+01	1.559326e-01
8.400000000001455e+01	1.555648e-01
8.410000000001457e+01	1.551979e-01
8.420000000001460e+01	1.548320e-01
8.430000000001462e+01	1.544669e-01
8.440000000001464e+01	1.541026e-01
8.450000000001467e+01	1.537393e-01
8.460000000001469e+01	1.533768e-01
8.470000000001471e+01	1.530152e-01
8.480000000001473e+01	1.526544e-01
8.490000000001476e+01	1.522946e-01
8.500000000001478e+01	1.519356e-01
8.510000000001480e+01	1.515774e-01
8.520000000001482e+01	1.512201e-01
8.530000000001485e+01	1.508637e-01
8.540000000001487e+01	1.505082e-01
8.550000000001489e+01	1.501535e-01
8.560000000001492e+01	1.497996e-01
8.570000000001494e+01	1.494467e-01
8.580000000001496e+01	1.490945e-01
8.590000000001498e+01	1.487432e-01
8.600000000001501e+01	1.483928e-01
8.610000000001503e+01	1.480432e-01
8.620000000001505e+01	1.476945e-01
8.630000000001507e+01	1.473466e-01
8.640000000001510e+01	1.469995e-01
8.650000000001512e+01	1.466533e-01
8.660000000001514e+01	1.463079e-01
8.670000000001517e+01	1.459634e-01
8.680000000001519e+01	1.456197e-01
8.690000000001521e+01	1.452768e-01
8.700000000001523e+01	1.449348e-01
8.710000000001526e+01	1.445936e-01
8.720000000001528e+01	1.442532e-01
8.730000000001530e+01	1.439137e-01
8.740000000001532e+01	1.435749e-01
8.750000000001535e+01	1.432370e-01
8.760000000001537e+01	1.429000e-01
8.770000000001539e+01	1.425637e-01
8.780000000001542e+01	1.422283e-01
8.790000000001544e+01	1.418936e-01
8.800000000001546e+01	1.415598e-01
8.810000000001548e+01	1.412268e-01
8.820000000001551e+01	1.408947e-01
8.830000000001553e+01	1.405633e-01
8.840000000001555e+01	1.402327e-01
8.850000000001558e+01	1.399030e-01
8.860000000001560e+01	1.395740e-01
8.870000000001562e+01	1.392459e-01
8.880000000001564e+01	1.389185e-01
8.890000000001567e+01	1.385920e-01
8.900000000001569e+01	1.382663e-01
8.910000000001571e+01	1.379413e-01
8.920000000001573e+01	1.376172e-01
8.930000000001576e+01	1.372938e-01
8.940000000001578e+01	1.369712e-01
8.950000000001580e+01	1.366495e-01
8.960000000001583e+01	1.363285e-01
8.970000000001585e+01	1.360083e-01
8.980000000001587e+01	1.356888e-01
8.990000000001589e+01	1.353702e-01
9.000000000000000e+01	1.350524e-01
